SDD version, SDDv1.0;

Software, McMahon Empirical Model. v0.3;

Author, Stephen J McMahon, stephen.mcmahon@qub.ac.uk, 12/06/2018, McMahon et al, Scientific Reports 10790;

Simulation Details, Empirical model of DNA damage distribution based on radial energy. Nucleus radius 4.32 um giving DSB energy of 60.1 keV/DSB on average;

Source, Monoenergetic plane-parallel particle beam uniformly exposing nucleus. Energy: 0.975 MeV;

Source type, 1;

Incident particles, 2212;

Mean particle energy, 0.975;  # This is an illustrative comment #

Energy distribution, M, 0;

Particle fraction, 1.0;

Dose or fluence, 1, 1;

Dose rate, 2.0;

Irradiation target, Simple spherical cell model, radius 4.32 um;

Volumes, 0,5,5,5,0,0,0, 1,4.32,4.32,4.32,0,0,0;

Chromosome sizes, 46, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652, 132.608695652;

DNA Density, 18.0630042979;

Cell Cycle Phase, 0;

DNA Structure, 0, 1;

In vitro / in vivo, 0;

Proliferation status, 1,;

Microenvironment, 20, 0.01;

Damage definition, 0, 0, 10, -1, 0, 0;

Time, 0;

Damage and primary count, 3350, 3350;

Data entries, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;

Additional information, Generated for illustrative purposes for SDD Model manuscript. Data was generated in comprehensive data format.;

***EndOfHeader***;



2,0; -0.975464551947, 1.52838619582, 2.16361948422, -0.965464551947, 1.53838619582, 2.17361948422, -0.985464551947, 1.51838619582, 2.15361948422; 0, 8,1,1; 0.07322419481107412; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01323334223432314131; 1.27946838138; 2212; 0.975; -0.975464551947/1.52838619582/-5; 0/0/0; 0;

0,0; -0.972555520142, 1.52675114509, 0.125507885826, -0.962555520142, 1.53675114509, 0.135507885826, -0.982555520142, 1.51675114509, 0.115507885826; 0, 29,1,1; 0.9800835871195932; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 02213133313312333114; 0.554517914787; 2212; 0.975; -0.972555520142/1.52675114509/-5; 0/0/0; 0;

0,0; -0.959924936024, 1.51998056707, -2.38062989757, -0.949924936024, 1.52998056707, -2.37062989757, -0.969924936024, 1.50998056707, -2.39062989757; 0, 37,1,1; 0.873727073169589; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01134342214243214313; 0.951111878413; 2212; 0.975; -0.959924936024/1.51998056707/-5; 0/0/0; 0;

0,0; -0.975736768005, 1.53205300873, 3.60557597648, -0.965736768005, 1.54205300873, 3.61557597648, -0.985736768005, 1.52205300873, 3.59557597648; 0, 8,1,1; 0.8588003582257127; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03342423324123412144; 1.615155017; 2212; 0.975; -0.975736768005/1.53205300873/-5; 0/0/0; 0;

1,1; -0.566550043913, 3.65895479767, 0.281909759059, -0.556550043913, 3.66895479767, 0.291909759059, -0.576550043913, 3.64895479767, 0.271909759059; 0, 38,1,1; 0.2588986323904686; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03232112421411244131; 0.593406148354; 2212; 0.975; -0.566550043913/3.65895479767/-5; 0/0/0; 0;

0,1; -0.593368589222, 3.62351263084, -2.06057546108, -0.583368589222, 3.63351263084, -2.05057546108, -0.603368589222, 3.61351263084, -2.07057546108; 0, 17,1,1; 0.004603985162887958; 0; 0,5,1; 1 1 1/1 2 1/2 1 1/2 2 1/3 1 1/3 2 1/4 1 1/4 2 1/4 8 1/; 00431311123431334234; 1.53089609937; 2212; 0.975; -0.593368589222/3.62351263084/-5; 0/0/0; 0;

0,1; -0.59511230939, 3.62828268713, -1.27319775064, -0.58511230939, 3.63828268713, -1.26319775064, -0.60511230939, 3.61828268713, -1.28319775064; 0, 17,1,1; 0.30413653096315174; 1; 0,5,1; 1 2 1/1 3 1/2 2 1/2 3 1/3 2 1/3 3 1/4 1 1/4 2 1/4 3 1/; 40044422323242322344; 0.301875427985; 2212; 0.975; -0.59511230939/3.62828268713/-5; 0/0/0; 0;

1,2; -0.317361773818, -0.012359939843, -3.54342434164, -0.307361773818, -0.00235993984298, -3.53342434164, -0.327361773818, -0.022359939843, -3.55342434164; 0, 24,1,1; 0.11081362934770883; 1; 0,3,1; 1 1 1/1 8 1/2 8 1/3 8 1/4 8 1/; 23214130411443443221; 0.221392264577; 2212; 0.975; -0.317361773818/-0.012359939843/-5; 0/0/0; 0;

0,2; -0.328988269152, -0.0191779333093, 0.833690553487, -0.318988269152, -0.0091779333093, 0.843690553487, -0.338988269152, -0.0291779333093, 0.823690553487; 0, 7,1,1; 0.49194179067472354; 1; 0,3,1; 1 1 1/2 1 1/3 1 1/4 1 1/4 8 1/; 01133331432434423331; 1.80106278079; 2212; 0.975; -0.328988269152/-0.0191779333093/-5; 0/0/0; 0;

0,2; -0.325040470988, -0.0154807624867, -3.95582157089, -0.315040470988, -0.00548076248671, -3.94582157089, -0.335040470988, -0.0254807624867, -3.96582157089; 0, 24,1,1; 0.0037911854062241956; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 03414124241111211333; 1.37289967176; 2212; 0.975; -0.325040470988/-0.0154807624867/-5; 0/0/0; 0;

0,2; -0.329832856483, -0.0172228548013, -0.407658332254, -0.319832856483, -0.00722285480133, -0.397658332254, -0.339832856483, -0.0272228548013, -0.417658332254; 0, 36,1,1; 0.7132382073469806; 1; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01224132443244142434; 1.36851920877; 2212; 0.975; -0.329832856483/-0.0172228548013/-5; 0/0/0; 0;

1,3; 1.40789692671, 1.72450255455, -1.83206250515, 1.41789692671, 1.73450255455, -1.82206250515, 1.39789692671, 1.71450255455, -1.84206250515; 0, 39,1,1; 0.9868561746742713; 1; 0,3,1; 1 1 1/2 1 1/3 1 1/4 1 1/4 11 1/; 03341443214213412423; 0.951108536629; 2212; 0.975; 1.40789692671/1.72450255455/-5; 0/0/0; 0;

0,3; 1.40533518937, 1.71920507, 3.57796788698, 1.41533518937, 1.72920507, 3.58796788698, 1.39533518937, 1.70920507, 3.56796788698; 0, 21,1,1; 0.7453825976862283; 0; 0,7,1; 1 4 1/1 5 1/1 6 1/2 4 1/2 5 1/2 6 1/3 4 1/3 5 1/3 6 1/4 1 1/4 4 1/4 5 1/4 6 1/; 21200044111331444224; 0.446728978041; 2212; 0.975; 1.40533518937/1.71920507/-5; 0/0/0; 0;

0,3; 1.40467128003, 1.72311923568, -2.95713434044, 1.41467128003, 1.73311923568, -2.94713434044, 1.39467128003, 1.71311923568, -2.96713434044; 0, 39,1,1; 0.44861451280951503; 1; 0,7,1; 1 11 1/1 12 1/1 13 1/2 11 1/2 12 1/2 13 1/3 11 1/3 12 1/3 13 1/4 1 1/4 11 1/4 12 1/4 13 1/; 44234221420003212343; 0.467568468664; 2212; 0.975; 1.40467128003/1.72311923568/-5; 0/0/0; 0;

0,3; 1.40406589167, 1.71861699267, 3.1709151178, 1.41406589167, 1.72861699267, 3.1809151178, 1.39406589167, 1.70861699267, 3.1609151178; 0, 21,1,1; 0.5020258944008102; 0; 0,2,1; 1 1 1/2 1 1/3 1 1/4 1 1/; 01224431334324232433; 1.77478604251; 2212; 0.975; 1.40406589167/1.71861699267/-5; 0/0/0; 0;

